run	id
ptyr154	AID4634-fq1
ptyr154	AID8187-fq2
ptyr154	AID3044-fq1
ptyr154	AID3023-fq1
ptyr154	AID0880-fq2
ptyr154	AID0880-fq1
ptyr155	AID1327-fq1
ptyr155	AID1327-fq2
ptyr155	AID1327-fq3
ptyr155	AID2666-fq1
ptyr155	AID4436-fq1
ptyr155	AID7334-fq1
ptyr155	AID8695-fq1
ptyr155	AID8078-fq1
ptyr156	AID0820-fq1
ptyr156	AID4509-fq1
ptyr156	AID1082-fq1
ptyr156	AID5774-fq2
ptyr156	AID5774-fq1
ptyr156	AID3040-fq1
ptyr156	AID5886-fq1
ptyr157	AID2777-fq1
ptyr157	AID5312-fq1
ptyr157	AID5265-fq1
ptyr157	AID6580-fq1
ptyr157	AID7047-fq1
ptyr157	AID3359-fq1
ptyr158	AID3583-fq1
ptyr158	AID6056-fq1
ptyr158	AID5265-fq1
ptyr158	AID5312-fq1
ptyr158	AID5841-fq1
ptyr158	AID5426-fq1
ptyr159	AID1008-fq1
ptyr159	AID3791-fq1
ptyr159	AID4680-fq1
ptyr159	AID7393-fq1
ptyr159	AID7222-fq1
ptyr159	AID5064-fq1
ptyr15	AID2392-fq1
ptyr15	AID2853-fq1
ptyr15	AID2943-fq1
ptyr15	AID4160-fq1
ptyr15	AID3880-fq1
ptyr15	AID4621-fq1
ptyr15	AID5241-fq1
ptyr15	AID6122-fq1
ptyr160	AID1322-fq1
ptyr160	AID7393-fq1
ptyr160	AID7222-fq1
ptyr160	AID2248-fq1
ptyr160	AID8804-fq1
ptyr160	AID6967-fq1
ptyr161	AID1004-fq1
ptyr161	AID6062-fq1
ptyr161	AID8846-fq1
ptyr161	AID4042-fq1
ptyr161	AID6711-fq1
ptyr161	AID6711-fq2
ptyr161	AID6711-fq3
ptyr161	AID0392-fq1
ptyr162	AID0151-fq1
ptyr162	AID6245-fq1
ptyr162	AID6315-fq1
ptyr162	AID7677-fq1
ptyr162	AID3806-fq1
ptyr162	AID5491-fq1
ptyr163	AID2205-fq1
ptyr163	AID3120-fq1
ptyr163	AID5551-fq1
ptyr163	AID6714-fq1
ptyr163	AID4345-fq1
ptyr163	AID2727-fq1
