name	median	lower	upper	bulk_ess	tail_ess	rhat	idx	id
logit_prob_seq_ind[316]	-0.586977	-1.48875	0.386058	12312.262856501107	5292.676063622293	1.0004487205111163	316	316
logit_prob_seq_ind[317]	0.1227705	-0.616287	0.847307	10692.341108572262	5489.421335761567	1.0004232410786307	317	317
logit_prob_seq_ind[318]	0.374888	-1.26221	2.13175	11930.816349879291	5411.002119486215	1.0008858284895044	318	318
logit_prob_seq_ind[319]	0.278755	-0.492114	1.16023	8912.864803882649	5394.082379658966	0.9999368574883681	319	319
logit_prob_seq_ind[31]	0.2700515	-1.00257	1.62606	10552.10205190502	5237.860304319604	1.0002476987809301	31	31
logit_prob_seq_ind[320]	0.5739485	-0.601576	1.88318	8854.881027548992	5123.933923134412	1.000363486802676	320	320
logit_prob_seq_ind[321]	0.380471	-0.700193	1.53438	8679.932564125078	4864.197952727874	1.0000642874852417	321	321
logit_prob_seq_ind[322]	0.1518675	-0.795025	1.26283	11244.074046010546	5615.445913521312	1.000134773686012	322	322
logit_prob_seq_ind[323]	0.09448205	-1.72743	1.91281	9996.466943865766	5270.268038665177	1.0005843387318438	323	323
logit_prob_seq_ind[324]	0.7303335	0.0502676	1.46324	11911.07146189606	4651.351264670607	1.000202501016194	324	324
logit_prob_seq_ind[325]	-0.3644365	-1.82467	1.26156	9529.313683490816	4952.503980033398	1.000146988810913	325	325
logit_prob_seq_ind[326]	0.7581025	-0.419178	2.10017	9000.408880926632	4324.986531068608	0.9999983095296517	326	326
logit_prob_seq_ind[327]	0.8666075	0.100275	1.67175	10287.769011740871	5280.404777971133	1.0000385092902804	327	327
logit_prob_seq_ind[328]	0.252456	-0.711467	1.33202	12272.932840067733	4694.970178872908	1.000025157380029	328	328
logit_prob_seq_ind[329]	-0.031144949999999998	-1.39355	1.4622	12034.775274091344	4929.20161336612	0.9999253538770063	329	329
logit_prob_seq_ind[32]	-0.4741195	-1.64492	0.8954	12825.840552506015	4746.890916929693	1.000944758719676	32	32
logit_prob_seq_ind[330]	-0.296384	-0.998326	0.470556	11527.808835745593	5392.466196484526	1.000022453679834	330	330
logit_prob_seq_ind[331]	1.578025	0.670959	2.5998	10214.02786423233	5363.312431320662	0.9999493735284257	331	331
logit_prob_seq_ind[332]	-0.0696773	-1.07123	1.03818	9787.951564909274	5325.885066451197	1.0001621488120314	332	332
logit_prob_seq_ind[333]	0.40524550000000004	-1.20975	2.04046	10088.737916837477	5062.890383685495	1.0010006883593494	333	333
logit_prob_seq_ind[334]	-0.215925	-1.03172	0.749415	9728.165049364961	5084.085585761551	1.0000120201469336	334	334
logit_prob_seq_ind[335]	1.397185	0.642609	2.16487	11965.3403888032	5050.841137775238	1.0002413602075402	335	335
logit_prob_seq_ind[336]	0.36771149999999997	-0.332459	1.10594	10885.690611188169	4779.2854868899485	0.9998960735250808	336	336
logit_prob_seq_ind[337]	0.718504	-0.0147671	1.49746	11600.743646384935	4813.99809265068	1.0003100468184865	337	337
logit_prob_seq_ind[338]	0.193076	-0.574452	0.996874	10905.0631999054	5310.194567105808	1.000912251706199	338	338
logit_prob_seq_ind[339]	-0.6708700000000001	-1.44279	0.191046	12091.569731977172	5604.867388266479	0.9999977605332819	339	339
logit_prob_seq_ind[33]	0.4097595	-1.18042	2.08847	9354.831681670832	4750.818575434966	1.0000166943980122	33	33
logit_prob_seq_ind[340]	-0.7902849999999999	-1.86366	0.427835	9944.738856108523	4671.854601116338	0.9999208327613988	340	340
logit_prob_seq_ind[341]	-0.1277315	-0.866945	0.674353	9570.568094489	5007.96196401588	0.9998830460017157	341	341
logit_prob_seq_ind[342]	0.2763905	-0.432318	1.01562	9151.309998155324	4858.834101365333	0.999913973991413	342	342
logit_prob_seq_ind[343]	-2.530865	-3.21914	-1.76705	10543.929748406033	5128.51409833436	1.0004043477053468	343	343
logit_prob_seq_ind[344]	-0.78133300000000006	-1.65048	0.197748	9807.9581541764	5400.19558478403	0.9999305885391274	344	344
logit_prob_seq_ind[345]	0.336016	-1.28471	2.10057	12145.75632980766	5171.635371459463	0.9999225512602721	345	345
logit_prob_seq_ind[346]	0.207665	-0.57567	1.17728	8964.297793438398	5601.395289366777	1.0000569129614263	346	346
logit_prob_seq_ind[347]	0.8261465	-0.42691	2.3174	12826.567912074666	4950.571642622656	1.0000449756484824	347	347
